"SQ *TRAILHEAD COFF Grand Junctio CO","Coffee"
"APPLE.COM/BILL 866-712-7753 CA","Streaming"
"DisneyPLUS 888-9057888 CA","Streaming"
"Netflix.com 408-5403700 CA","Streaming"
"PARAMOUNT+ 888-274-5343 CA","Streaming"
"Roku for WarnerMed 816-2728107 DE","Streaming"
"Spotify USA 877-7781161 NY","Streaming"
"HLU*Hulu 859581147 HULU.COM/BILL CA","Streaming"
"Roku for Funimatio 816-2728107 DE","Streaming"
"HLU*Hulu 859581146 HULU.COM/BILL CA","Streaming"
"JB HART MUSIC CO INC GRAND JUNCTIO CO","Spending Money"
"MICHAELS STORES 27 GRND JUNCTION CO","Spending Money"
"NINTENDO *AMERI 800-255-3700 WA","Spending Money"
"ULTA #313 GRAND JUNCTIO CO","Spending Money"
"BARNESNOBLE 2451 Patterso Grand Junctio CO","Spending Money"
"BELLAGIO NAIL SPA GRAND JUNCTIO CO","Spending Money"
"GLOSSIER WWW.GLOSSIER. NY","Spending Money"
"HOBBY HUT MODELS GRAND JUNCTIO CO","Spending Money"
"HOBBYLOBB 1450 W. INDE GRAND JUNCTIO CO","Spending Money"
"MASKSHEETS HTTPSMASKSHEE DE","Spending Money"
"MICHAELS STORES 2749 2 GRND JUNCTION CO","Spending Money"
"VZWRLSS*APOCC VISE 800-922-0204 FL","Phone Bill"
"TARGET T- 2424 Highway Grand Junctio CO","Misc."
"TARGET 0000 GRAND JUNCTIO CO","Misc."
"TARGET.COM * 800-591-3869 MN","Misc."
"PAS*PASSPT GJUNCN 704-817-2500 NC","Misc."
"VENMO* Visa Direct NY","Misc."
"STATE FARM RO 27 SFPP 08 S 1149428708 SETH ELY","Insurance"
"HOMEGOODS 2434 HWY 6 & GRAND JUNCTIO CO","House"
"SHERWIN WILLIAMS 70719 GRANDJUNCTION CO","House"
"U-HAUL MOVING & ST 800-789-3638 CO","House"
"THE HOME DEPOT #1513 GRAND JCT CO","House"
"BED BATH & BEYOND 180-046-2396 NJ","House"
"BEDBATH&BEYOND# 2464 US H GRAND JUNCTIO CO","House"
"ENCOUNTER COUNSELI STRIPE.COM CO","Health"
"MITCHELL CHIROPRAC GRAND JUNCTIO CO","Health"
"ENCOUNTER COUNSELI WWW.ENCOUNTER CO","Health""
"COLORADO BABY 970-2420132 CO","Health"
"EPIPHANY DERMATOLO 000-0000000 CO","Health"
"CITY MARK 630 24 RD. GRAND JUNCTIO CO","Groceries"
"DOLLAR TR 2535 RIMROCK GRAND JUNCTIO CO","Groceries"
"SPROUTS FARMERS MKT#324 GRAND JUNCTIO CO","Groceries"
"CITY MARK 2600 NORTH 1 GRAND JUNCTIO CO","Groceries"
"CITY MARKET #025 630 24 R GRAND JUNCTIO CO","Groceries"
"CITY MARKET #045 630 24 R GRAND JUNCTIO CO","Groceries"
"SAMSCLUB #6360 GRAND JUNCTIO CO","Groceries"
"STOP N SAVE 11 GRAND JUNCTIO CO","Groceries"
"Wal-Mart Super Center GRAND JUNCTIO CO","Groceries"
"CITY MARKET 444 2600 NORT GRAND JUNCTIO CO","Groceries"
"RELIANT MISSION WWW.RELIANT.O FL","Giving"
"PHILLIPS 66 - ALTA GRAND JUNCTIO CO","Gas/Car"
"BROTHERS INSPECTIO 970-6400214 CO","Gas/Car"
